 lot    SPACE TYPE    latitude         longitude            Block_ID

 201        RG        40.00561         -105.2705           4000_-10527
 203       ADA       40.006185        -105.271404          4000_-10527
 205       ADA       40.006341        -105.270234          4000_-10527
 205        RG       40.006341        -105.270234          4000_-10527
 207        RG       40.006539        -105.27003           4000_-10527
 250        RG       40.006341        -105.258969          4000_-10525
 304       ADA       40.005626        -105.258969          4000_-10525
 305        RG       40.003498        -105.263819          4000_-10526
 306       ADA       40.004155        -105.266511          4000_-10526
 306        RG       40.004155        -105.266511          4000_-10526
 309       ADA       40.003646        -105.267252          4000_-10526
 309        RG       40.003646        -105.267252          4000_-10526
 317        RG       40.005536        -105.269011          4000_-10526
 319       ADA       40.004155        -105.266511          4000_-10526
 319        RG       40.004155        -105.266511          4000_-10526
 353       ADA       40.007147        -105.266383          4000_-10526
 354       ADA       40.007147        -105.266383          4000_-10526
 354        RG       40.007147        -105.266383          4000_-10526
 359       ADA       40.007886        -105.264999          4000_-10526
 359        RG       40.007886        -105.264999          4000_-10526
 368       ADA       40.003498        -105.263819          4000_-10526
 377       ADA       40.008355        -105.26517           4000_-10526
 377        RG       40.008355        -105.26517           4000_-10526
 381        RG       40.010483        -105.271769          4001_-10527
 391        RG       40.010828        -105.270824          4001_-10527
 394       ADA        40.0105         -105.267702          4001_-10526
 394        RG        40.0105         -105.267702          4001_-10526
 400       ADA       40.001665        -105.263776          4000_-10526
 404       ADA       40.003177        -105.263089          4000_-10526
 404        RG       40.003177        -105.263089          4000_-10526
 415        RG       40.001665        -105.263776          4000_-10526
 421       ADA       40.001665        -105.263776          4000_-10526
 421        RG       40.001665        -105.263776          4000_-10526
 423        RG       40.004328        -105.262456          4000_-10526
 437       ADA       40.007968        -105.262038          4000_-10526
 437        RG       40.005404        -105.260643          4000_-10526
 440       ADA       40.006169        -105.261072          4000_-10526
 440        RG       40.006169        -105.261072          4000_-10526
 448       ADA       40.006613        -105.261909          4000_-10526
 448        RG       40.006613        -105.261909          4000_-10526
 457        RG       40.001164        -105.263186          4000_-10526
 459        RG       40.001164        -105.263186          4000_-10526
 461       ADA       40.001246        -105.261834          4000_-10526
 465       ADA       40.004081        -105.259838          4000_-10525
 465        RG       40.004081        -105.259838          4000_-10525
 472       ADA       40.001164        -105.263186          4000_-10526
 473        RG        40.00095        -105.263529          4000_-10526
 474        RG       40.001164        -105.263186          4000_-10526
 475       ADA       40.001164        -105.263186          4000_-10526


